Sex_M	Age	Age2	pEUR	Height	PRS0	f1	f2	R2_PRS0	Rep	Label2	SE_PRS0	ss1	Test_Data	N	Label
1	47.5	2256.25	0.065265	193.04	-1.12606763573895	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.67	1000	all	0.436	PRS_META_EUR	PMBB_AFR	613667	UKBB+GIANT
1	47.5	2256.25	0.065265	193.04	-1.09101372584289	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.249	1000	pEUR<0.17	0.532	PRS_META_EUR	PMBB_AFR	613667	UKBB+GIANT
1	33.3	1108.89	0.27116	190.5	-0.64548277846518	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	6.044	1000	pEUR>0.17	0.686	PRS_META_EUR	PMBB_AFR	613667	UKBB+GIANT
1	47.5	2256.25	0.065265	193.04	-0.136774294904845	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	5.287	1000	all	0.47	PRS_META_NEA	PMBB_AFR	249985	META_AFR+PAGE+BBJ
1	47.5	2256.25	0.065265	193.04	-0.100028595380423	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	4.725	1000	pEUR<0.17	0.623	PRS_META_NEA	PMBB_AFR	249985	META_AFR+PAGE+BBJ
1	33.3	1108.89	0.27116	190.5	0.699721410130862	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	5.763	1000	pEUR>0.17	0.674	PRS_META_NEA	PMBB_AFR	249985	META_AFR+PAGE+BBJ
1	65.5	4290.25	1	187.96	1.49218470622665	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	1.408	1000	all	0.283	PRS_META_AFR	PMBB_EUR	41109	META_AFR
1	65.5	4290.25	1	187.96	2.63497362387677	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	3.47	1000	all	0.443	PRS_META_AFR2	PMBB_EUR	90890	META_AFR+PAGE
1	65.5	4290.25	1	187.96	2.57566259526568	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	13.58	1000	all	0.83	PRS_UKBB	PMBB_EUR	360388	UKBB
1	65.5	4290.25	1	187.96	1.99677905856237	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	10.123	1000	all	0.73	PRS_GIANT	PMBB_EUR	253280	GIANT
